title,appeared,type,lastActivity,repos,country
Java,1995,pl,2022,369548,United States
JavaScript,1995,pl,2022,1099879,United States
C,1972,pl,2022,292876,United States
Python,1991,pl,2022,550171,Netherlands
SQL,1974,queryLanguage,2022,641,United States
C++,1985,pl,2022,277733,United States
HTML,1991,textMarkup,2022,777550,Switzerland
Linux,1991,os,2018,0,United States
XML,1996,dataNotation,2022,2700,World
PHP,1995,pl,2022,339509,Canada
Perl,1987,pl,2022,101542,United States
MATLAB,1984,pl,2022,2791,United States
Ruby,1995,pl,2022,374367,Japan
C#,2000,pl,2022,133078,United States
Android,2008,os,2022,0,United States
MySQL,1995,queryLanguage,2022,0,World
Fortran,1957,pl,2022,2820,United States
CSS,1996,stylesheetLanguage,2018,808537,Switzerland
R,1993,pl,2022,29347,United States
JSON,2001,dataNotation,2022,6,United States
iOS,2007,os,2018,0,United States
Go,2009,pl,2022,91470,World
Scala,2004,pl,2022,34541,Switzerland
Swift,2014,pl,2022,42531,World
Ada,1980,pl,2022,2172,United States
COBOL,1959,pl,2022,667,United States
Rust,2010,pl,2023,15753,World
PostgreSQL,1986,queryLanguage,2022,0,United States
Kotlin,2011,pl,2023,7829,World
Arduino Programming Language,2005,pl,2022,20461,Italy
PowerShell,2006,pl,2022,33120,World
Pascal,1970,pl,2022,10149,Switzerland
Haskell,1990,pl,2022,29991,United States and United Kingdom
TypeScript,2012,pl,2023,47650,World
SAS,1976,pl,2022,1350,United States
ARM,1985,assembly,2022,0,United Kingdom
Lisp,1958,pl,2022,0,United States
Lua,1993,pl,2022,34346,Brazil
Julia,2012,pl,2023,5895,Various
Prolog,1972,pl,2022,11137,United Kingdom and France
Node.js,2009,pl,2022,0,United States
HTTP,1989,protocol,2022,0,United States
Objective-C,1984,pl,2022,167113,United States
Clojure,2007,pl,2022,25889,United States
Scheme,1970,pl,2022,7221,United States
Assembly language,1960,assembly,2022,47629,World
Erlang,1986,pl,2022,14920,Sweden
Bash,1989,pl,2022,640005,United States
JQuery,2006,library,2022,0,Various
Mathematica,1988,pl,2022,2662,United States
ISBN,1970,schema,2022,0,United Kingdom
Elixir,2011,pl,2022,6816,United States
CUDA,2007,pl,2018,4379,World
Dart,2011,pl,2022,5727,World
Emacs,1976,editor,2022,0,Various
Modula-2,1978,pl,2022,115,Switzerland
MongoDB,2009,application,2022,0,World
Visual Basic,1991,pl,2022,10510,United States
Tcl,1988,pl,2022,8111,World
ActionScript,1998,pl,2022,8748,World
VBA,1993,pl,2022,200,World
Vim,1991,editor,2022,0,World
Ruby on Rails,2005,framework,2022,0,Denmark
WordPress,2003,application,2022,0,World
BASIC,1964,pl,2022,66,United States
Verilog,1984,hardwareDescriptionLanguage,2022,2985,United States
awk,1977,pl,2022,20601,United States
Delphi,1995,pl,2022,240,United States
Solidity,2014,contractLanguage,2022,78,World
ASCII,1963,characterEncoding,2001,0,United States
AWS,2006,cloud,2018,0,United States
F#,2005,pl,2022,5877,United Kingdom
Regular Expressions,1951,queryLanguage,2022,0,United States
OCaml,1996,pl,2022,5622,France
ASP,1996,template,2022,32849,United States
Eiffel,1986,pl,2023,721,Various
Crystal,2014,pl,2022,1197,Argentina and Germany and Turkey
Smalltalk,1972,pl,2022,5607,United States
Yacc,1975,grammarLanguage,2018,13674,United States
Git,2005,application,2022,0,Various
Modula-3,1986,pl,2018,19,United States and Germany
Elm,2012,pl,2022,2864,United States and France
Racket,1994,pl,2022,3760,World
Groovy,2003,pl,2022,27223,United States and Spain and France
Unix,1969,os,1969,0,World
D,2001,pl,2022,7198,United States
Common Lisp,1984,pl,2022,5678,United States
Reason,2016,pl,2022,24,World
UML,1996,xmlFormat,2001,0,World
Sage,2005,pl,2022,84,World
Maple,1982,pl,2022,0,Canada
Unicode,1987,characterEncoding,2017,0,World
CoffeeScript,2009,pl,2022,68631,United States
VHDL,1983,hardwareDescriptionLanguage,2022,2099,United States
APL,1964,pl,2022,95,United States
OpenCL,2009,pl,2018,0,World
MediaWiki,2002,wikiMarkup,2022,0,United States
Microsoft Azure,2010,cloud,2018,0,United States
YAML,2001,dataNotation,2018,13,World
DOI,2000,schema,2022,0,Switzerland
REST,1996,protocol,2022,0,United States
UTF-8,1993,characterEncoding,2009,0,World
Microsoft Excel,1987,application,2001,0,United States
XQuery,2007,pl,2022,1175,World
PostScript,1982,textMarkup,2011,4145,United States
Nginx,2004,configFormat,2022,8529,Russia
GraphQL,2012,queryLanguage,2022,0,World
